toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
18.5,120.25,120.25,18.5,18.5,-344.5008396372302,0,0
18.5,120.25,120.25,18.5,18.5,-344.3784623888707,0,0
18.5,119.75,119.75,18.5,18.5,-344.2560851405112,0,0
19.5,119.75,119.75,19.5,19.5,-344.1337078921517,0,0
19.5,119.75,119.75,19.5,19.5,-344.0113306437922,0,0
19.5,122.0,122.0,19.5,19.5,-343.8889533954326,0,0
23.0,122.0,122.0,23.0,23.0,-343.7665761470731,0,0
23.0,122.0,122.0,23.0,23.0,-343.6441988987136,0,0
23.0,126.0,126.0,23.0,23.0,-343.5218216503541,0,0
23.5,126.0,126.0,23.5,23.5,-343.39944440199463,0,0
23.5,126.0,126.0,23.5,23.5,-343.2770671536351,0,0
23.5,126.5,126.5,23.5,23.5,-343.1546899052756,0,0
24.5,126.5,126.5,24.5,24.5,-343.0323126569161,0,0
24.5,126.5,126.5,24.5,24.5,-342.9099354085566,0,0
24.5,126.5,126.5,24.5,24.5,-342.7875581601971,0,0
21.5,126.5,126.5,21.5,21.5,-342.6651809118376,0,0
21.5,126.5,126.5,21.5,21.5,-342.542803663478,0,0
21.5,124.25,124.25,21.5,21.5,-342.4204264151185,0,0
24.5,124.25,124.25,24.5,24.5,-342.29804916675903,0,0
24.5,124.25,124.25,24.5,24.5,-342.17567191839953,0,0
24.5,121.75,121.75,24.5,24.5,-342.05329467004003,0,0
27.5,121.75,121.75,27.5,27.5,-341.9309174216805,0,0
27.5,121.75,121.75,27.5,27.5,-341.808540173321,0,0
27.5,120.0,120.0,27.5,27.5,-341.6861629249615,0,0
25.5,120.0,120.0,25.5,25.5,-341.563785676602,0,0
25.5,120.0,120.0,25.5,25.5,-341.4414084282425,0,0
25.5,121.25,121.25,25.5,25.5,-341.319031179883,0,0
25.0,121.25,121.25,25.0,25.0,-341.19665393152343,0,0
25.0,121.25,121.25,25.0,25.0,-341.07427668316393,0,0
25.0,120.5,120.5,25.0,25.0,-340.95189943480443,0,0
21.5,120.5,120.5,21.5,21.5,-340.82952218644493,0,0
21.5,120.5,120.5,21.5,21.5,-340.70714493808543,0,0
21.5,120.75,120.75,21.5,21.5,-340.58476768972594,0,0
20.0,120.75,120.75,20.0,20.0,-340.4623904413664,0,0
20.0,120.75,120.75,20.0,20.0,-340.3400131930069,0,0
20.0,123.0,123.0,20.0,20.0,-340.2176359446474,0,0
22.5,123.0,123.0,22.5,22.5,-340.0952586962879,0,0
22.5,123.0,123.0,22.5,22.5,-339.9728814479284,0,0
22.5,123.0,123.0,22.5,22.5,-339.85050419956883,0,0
23.0,123.0,123.0,23.0,23.0,-339.72812695120933,0,0
23.0,123.0,123.0,23.0,23.0,-339.60574970284983,0,0
23.0,125.25,125.25,23.0,23.0,-339.48337245449034,0,0
23.5,125.25,125.25,23.5,23.5,-339.36099520613084,0,0
23.5,125.25,125.25,23.5,23.5,-339.23861795777134,0,0
23.5,122.75,122.75,23.5,23.5,-339.1162407094118,0,0
22.5,122.75,122.75,22.5,22.5,-338.9938634610523,0,0
22.5,122.75,122.75,22.5,22.5,-338.8714862126928,0,0
22.5,122.25,122.25,22.5,22.5,-338.7491089643333,0,0
20.5,122.25,122.25,20.5,20.5,-338.6267317159738,0,0
20.5,122.25,122.25,20.5,20.5,-338.50435446761423,0,0
20.5,122.75,122.75,20.5,20.5,-338.38197721925474,0,0
20.0,122.75,122.75,20.0,20.0,-338.25959997089524,0,0
20.0,122.75,122.75,20.0,20.0,-338.13722272253574,0,0
20.0,123.0,123.0,20.0,20.0,-338.01484547417624,0,0
19.0,123.0,123.0,19.0,19.0,-337.89246822581674,0,0
19.0,123.0,123.0,19.0,19.0,-337.7700909774572,0,0
19.0,120.75,120.75,19.0,19.0,-337.6477137290977,0,0
20.5,120.75,120.75,20.5,20.5,-337.5253364807382,0,0
20.5,120.75,120.75,20.5,20.5,-337.4029592323787,0,0
20.5,120.25,120.25,20.5,20.5,-337.2805819840192,0,0
21.5,120.25,120.25,21.5,21.5,-337.15820473565964,0,0
21.5,120.25,120.25,21.5,21.5,-337.03582748730014,0,0
21.5,120.75,120.75,21.5,21.5,-336.91345023894064,0,0
21.5,120.75,120.75,21.5,21.5,-336.79107299058114,0,0
21.5,120.75,120.75,21.5,21.5,-336.66869574222164,0,0
21.5,123.25,123.25,21.5,21.5,-336.54631849386215,0,0
21.5,123.25,123.25,21.5,21.5,-336.4239412455026,0,0
21.5,123.25,123.25,21.5,21.5,-336.3015639971431,0,0
21.5,123.5,123.5,21.5,21.5,-336.1791867487836,0,0
20.0,123.5,123.5,20.0,20.0,-336.0568095004241,0,0
20.0,123.5,123.5,20.0,20.0,-335.9344322520646,0,0
20.0,121.5,121.5,20.0,20.0,-335.81205500370504,0,0
19.0,121.5,121.5,19.0,19.0,-335.68967775534554,0,0
19.0,121.5,121.5,19.0,19.0,-335.56730050698604,0,0
19.0,121.5,121.5,19.0,19.0,-335.44492325862655,0,0
18.0,121.5,121.5,18.0,18.0,-335.32254601026705,0,0
18.0,121.5,121.5,18.0,18.0,-335.20016876190755,0,0
18.0,123.5,123.5,18.0,18.0,-335.077791513548,0,0
20.0,123.5,123.5,20.0,20.0,-334.9554142651885,0,0
20.0,123.5,123.5,20.0,20.0,-334.833037016829,0,0
20.0,125.5,125.5,20.0,20.0,-334.7106597684695,0,0
19.0,125.5,125.5,19.0,19.0,-334.58828252011,0,0
19.0,125.5,125.5,19.0,19.0,-334.46590527175044,0,0
19.0,125.5,125.5,19.0,19.0,-334.34352802339095,0,0
19.0,125.5,125.5,19.0,19.0,-334.22115077503145,0,0
19.0,125.5,125.5,19.0,19.0,-334.09877352667195,0,0
19.0,125.5,125.5,19.0,19.0,-333.97639627831245,0,0
18.0,125.5,125.5,18.0,18.0,-333.85401902995295,0,0
18.0,125.5,125.5,18.0,18.0,-333.7316417815934,0,0
18.0,121.75,121.75,18.0,18.0,-333.6092645332339,0,0
20.5,121.75,121.75,20.5,20.5,-333.4868872848744,0,0
20.5,121.75,121.75,20.5,20.5,-333.3645100365149,0,0
20.5,121.0,121.0,20.5,20.5,-333.2421327881554,0,0
19.0,121.0,121.0,19.0,19.0,-333.1197555397959,0,0
19.0,121.0,121.0,19.0,19.0,-332.99737829143635,0,0
19.0,120.0,120.0,19.0,19.0,-332.87500104307685,0,0
18.5,120.0,120.0,18.5,18.5,-332.75262379471735,0,0
18.5,120.0,120.0,18.5,18.5,-332.63024654635785,0,0
18.5,120.5,120.5,18.5,18.5,-332.50786929799835,0,0
20.0,120.5,120.5,20.0,20.0,-332.3854920496388,0,0
20.0,120.5,120.5,20.0,20.0,-332.2631148012793,0,0
20.0,120.75,120.75,20.0,20.0,-332.1407375529198,0,0
22.5,120.75,120.75,22.5,22.5,-332.0183603045603,0,0
22.5,120.75,120.75,22.5,22.5,-331.8959830562008,0,0
22.5,119.5,119.5,22.5,22.5,-331.7736058078413,0,0
23.0,119.5,119.5,23.0,23.0,-331.65122855948175,0,0
23.0,119.5,119.5,23.0,23.0,-331.52885131112225,0,0
23.0,121.75,121.75,23.0,23.0,-331.40647406276275,0,0
21.5,121.75,121.75,21.5,21.5,-331.28409681440326,0,0
21.5,121.75,121.75,21.5,21.5,-331.16171956604376,0,0
21.5,120.25,120.25,21.5,21.5,-331.0393423176842,0,0
19.0,120.25,120.25,19.0,19.0,-330.9169650693247,0,0
19.0,120.25,120.25,19.0,19.0,-330.7945878209652,0,0
19.0,121.75,121.75,19.0,19.0,-330.6722105726057,0,0
25.0,121.75,121.75,25.0,25.0,-330.5498333242462,0,0
25.0,121.75,121.75,25.0,25.0,-330.4274560758867,0,0
25.0,121.75,121.75,25.0,25.0,-330.30507882752715,0,0
22.5,121.75,121.75,22.5,22.5,-330.18270157916766,0,0
22.5,121.75,121.75,22.5,22.5,-330.06032433080816,0,0
22.5,121.75,121.75,22.5,22.5,-329.93794708244866,0,0
24.0,121.75,121.75,24.0,24.0,-329.81556983408916,0,0
24.0,121.75,121.75,24.0,24.0,-329.6931925857296,0,0
24.0,122.0,122.0,24.0,24.0,-329.5708153373701,0,0
23.0,122.0,122.0,23.0,23.0,-329.4484380890106,0,0
23.0,122.0,122.0,23.0,23.0,-329.3260608406511,0,0
23.0,124.75,124.75,23.0,23.0,-329.2036835922916,0,0
20.5,124.75,124.75,20.5,20.5,-329.0813063439321,0,0
20.5,124.75,124.75,20.5,20.5,-328.95892909557256,0,0
20.5,126.5,126.5,20.5,20.5,-328.83655184721306,0,0
19.0,126.5,126.5,19.0,19.0,-328.71417459885356,0,0
19.0,126.5,126.5,19.0,19.0,-328.59179735049406,0,0
19.0,126.5,126.5,19.0,19.0,-328.46942010213456,0,0
17.0,126.5,126.5,17.0,17.0,-328.34704285377506,0,0
17.0,126.5,126.5,17.0,17.0,-328.2246656054155,0,0
17.0,126.5,126.5,17.0,17.0,-328.102288357056,0,0
15.0,126.5,126.5,15.0,15.0,-327.9799111086965,0,0
15.0,126.5,126.5,15.0,15.0,-327.857533860337,0,0
15.0,124.25,124.25,15.0,15.0,-327.7351566119775,0,0
16.0,124.25,124.25,16.0,16.0,-327.61277936361796,0,0
16.0,124.25,124.25,16.0,16.0,-327.49040211525846,0,0
16.0,124.25,124.25,16.0,16.0,-327.36802486689896,0,0
19.0,124.25,124.25,19.0,19.0,-327.24564761853946,0,0
19.0,124.25,124.25,19.0,19.0,-327.12327037017997,0,0
19.0,126.5,126.5,19.0,19.0,-327.00089312182047,0,0
20.5,126.5,126.5,20.5,20.5,-326.8785158734609,0,0
20.5,126.5,126.5,20.5,20.5,-326.7561386251014,0,0
20.5,127.0,127.0,20.5,20.5,-326.6337613767419,0,0
21.5,127.0,127.0,21.5,21.5,-326.5113841283824,0,0
21.5,127.0,127.0,21.5,21.5,-326.3890068800229,0,0
21.5,127.0,127.0,21.5,21.5,-326.26662963166336,0,0
21.5,127.0,127.0,21.5,21.5,-326.14425238330386,0,0
21.5,127.0,127.0,21.5,21.5,-326.02187513494437,0,0
21.5,127.0,127.0,21.5,21.5,-325.89949788658487,0,0
22.5,127.0,127.0,22.5,22.5,-325.77712063822537,0,0
22.5,127.0,127.0,22.5,22.5,-325.65474338986587,0,0
22.5,124.5,124.5,22.5,22.5,-325.5323661415063,0,0
19.0,124.5,124.5,19.0,19.0,-325.4099888931468,0,0
19.0,124.5,124.5,19.0,19.0,-325.2876116447873,0,0
19.0,122.5,122.5,19.0,19.0,-325.1652343964278,0,0
17.0,122.5,122.5,17.0,17.0,-325.0428571480683,0,0
17.0,122.5,122.5,17.0,17.0,-324.92047989970877,0,0
17.0,122.25,122.25,17.0,17.0,-324.79810265134927,0,0
17.0,122.25,122.25,17.0,17.0,-324.67572540298977,0,0
17.0,122.25,122.25,17.0,17.0,-324.55334815463027,0,0
17.0,122.5,122.5,17.0,17.0,-324.4309709062708,0,0
16.5,122.5,122.5,16.5,16.5,-324.3085936579113,0,0
16.5,122.5,122.5,16.5,16.5,-324.1862164095517,0,0
16.5,123.0,123.0,16.5,16.5,-324.0638391611922,0,0
15.5,123.0,123.0,15.5,15.5,-323.9414619128327,0,0
15.5,123.0,123.0,15.5,15.5,-323.8190846644732,0,0
15.5,124.0,124.0,15.5,15.5,-323.6967074161137,0,0
13.5,124.0,124.0,13.5,13.5,-323.57433016775417,0,0
13.5,124.0,124.0,13.5,13.5,-323.45195291939467,0,0
13.5,125.25,125.25,13.5,13.5,-323.3295756710352,0,0
13.0,125.25,125.25,13.0,13.0,-323.2071984226757,0,0
13.0,125.25,125.25,13.0,13.0,-323.0848211743162,0,0
13.0,125.25,125.25,13.0,13.0,-322.9624439259567,0,0
12.0,125.25,125.25,12.0,12.0,-322.8400666775971,0,0
12.0,125.25,125.25,12.0,12.0,-322.7176894292376,0,0
12.0,126.25,126.25,12.0,12.0,-322.5953121808781,0,0
10.5,126.25,126.25,10.5,10.5,-322.4729349325186,0,0
10.5,126.25,126.25,10.5,10.5,-322.3505576841591,0,0
10.5,126.5,126.5,10.5,10.5,-322.2281804357996,0,0
15.5,126.5,126.5,15.5,15.5,-322.1058031874401,0,0
15.5,126.5,126.5,15.5,15.5,-321.9834259390806,0,0
15.5,126.5,126.5,15.5,15.5,-321.8610486907211,0,0
14.5,126.5,126.5,14.5,14.5,-321.7386714423616,0,0
14.5,126.5,126.5,14.5,14.5,-321.6162941940021,0,0
14.5,119.75,119.75,14.5,14.5,-321.4939169456425,0,0
15.5,119.75,119.75,15.5,15.5,-321.371539697283,0,0
15.5,119.75,119.75,15.5,15.5,-321.2491624489235,0,0
15.5,120.75,120.75,15.5,15.5,-321.12678520056403,0,0
14.0,120.75,120.75,14.0,14.0,-321.00440795220453,0,0
14.0,120.75,120.75,14.0,14.0,-320.882030703845,0,0
14.0,122.0,122.0,14.0,14.0,-320.7596534554855,0,0
13.0,122.0,122.0,13.0,13.0,-320.637276207126,0,0
13.0,122.0,122.0,13.0,13.0,-320.5148989587665,0,0
13.0,120.0,120.0,13.0,13.0,-320.392521710407,0,0
14.0,120.0,120.0,14.0,14.0,-320.2701444620475,0,0
14.0,120.0,120.0,14.0,14.0,-320.1477672136879,0,0
14.0,121.5,121.5,14.0,14.0,-320.02538996532843,0,0
12.0,121.5,121.5,12.0,12.0,-319.90301271696893,0,0
12.0,121.5,121.5,12.0,12.0,-319.78063546860943,0,0
12.0,122.5,122.5,12.0,12.0,-319.65825822024993,0,0
13.0,122.5,122.5,13.0,13.0,-319.5358809718904,0,0
13.0,122.5,122.5,13.0,13.0,-319.4135037235309,0,0
13.0,124.25,124.25,13.0,13.0,-319.2911264751714,0,0
16.5,124.25,124.25,16.5,16.5,-319.1687492268119,0,0
16.5,124.25,124.25,16.5,16.5,-319.0463719784524,0,0
16.5,126.5,126.5,16.5,16.5,-318.9239947300929,0,0
18.0,126.5,126.5,18.0,18.0,-318.80161748173333,0,0
18.0,126.5,126.5,18.0,18.0,-318.67924023337383,0,0
18.0,127.5,127.5,18.0,18.0,-318.55686298501433,0,0
18.0,127.5,127.5,18.0,18.0,-318.43448573665484,0,0
18.0,127.5,127.5,18.0,18.0,-318.31210848829534,0,0
18.0,127.5,127.5,18.0,18.0,-318.18973123993584,0,0
16.5,127.5,127.5,16.5,16.5,-318.0673539915763,0,0
16.5,127.5,127.5,16.5,16.5,-317.9449767432168,0,0
16.5,125.0,125.0,16.5,16.5,-317.8225994948573,0,0
16.0,125.0,125.0,16.0,16.0,-317.7002222464978,0,0
