toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
45.0,158.5,158.5,45.0,45.0,154.9179331809784,0,0
44.5,158.5,158.5,44.5,44.5,154.92550144522323,0,0
44.5,158.0,158.0,44.5,44.5,154.93306970946804,0,0
44.5,158.0,158.0,44.5,44.5,154.94063797371288,0,0
44.5,156.75,156.75,44.5,44.5,154.9482062379577,0,0
45.5,156.75,156.75,45.5,45.5,154.9557745022025,0,0
46.5,156.75,156.75,46.5,46.5,154.96334276644734,0,0
47.5,156.75,156.75,47.5,47.5,154.97091103069215,0,0
47.0,156.75,156.75,47.0,47.0,154.978479294937,0,0
46.0,156.75,156.75,46.0,46.0,154.9860475591818,0,0
45.5,156.75,156.75,45.5,45.5,154.99361582342664,0,0
46.0,157.25,157.25,46.0,46.0,155.00118408767145,0,0
46.5,157.25,157.25,46.5,46.5,155.00875235191626,0,0
47.5,158.5,158.5,47.5,47.5,155.0163206161611,0,0
48.0,156.25,156.25,48.0,48.0,155.0238888804059,0,0
49.0,155.75,155.75,49.0,49.0,155.03145714465074,0,0
49.5,155.75,155.75,49.5,49.5,155.03902540889555,0,0
50.0,154.25,154.25,50.0,50.0,155.04659367314036,0,0
48.5,154.25,154.25,48.5,48.5,155.0541619373852,0,0
47.5,157.25,157.25,47.5,47.5,155.06173020163,0,0
46.5,157.25,157.25,46.5,46.5,155.06929846587485,0,0
46.0,157.25,157.25,46.0,46.0,155.07686673011966,0,0
46.0,157.75,157.75,46.0,46.0,155.0844349943645,0,0
46.0,158.0,158.0,46.0,46.0,155.0920032586093,0,0
45.5,158.0,158.0,45.5,45.5,155.09957152285412,0,0
45.5,157.25,157.25,45.5,45.5,155.10713978709896,0,0
46.0,156.75,156.75,46.0,46.0,155.11470805134377,0,0
46.5,156.75,156.75,46.5,46.5,155.1222763155886,0,0
47.0,158.25,158.25,47.0,47.0,155.12984457983342,0,0
44.5,158.25,158.25,44.5,44.5,155.13741284407826,0,0
43.5,157.75,157.75,43.5,43.5,155.14498110832307,0,0
43.5,157.5,157.5,43.5,43.5,155.15254937256788,0,0
43.5,157.5,157.5,43.5,43.5,155.1601176368127,0,0
43.5,157.5,157.5,43.5,43.5,155.16768590105752,0,0
44.5,157.5,157.5,44.5,44.5,155.17525416530236,0,0
45.0,157.5,157.5,45.0,45.0,155.18282242954717,0,0
46.0,157.5,157.5,46.0,46.0,155.190390693792,0,0
47.0,158.25,158.25,47.0,47.0,155.19795895803682,0,0
47.0,158.0,158.0,47.0,47.0,155.20552722228163,0,0
46.0,158.0,158.0,46.0,46.0,155.21309548652647,0,0
46.0,158.0,158.0,46.0,46.0,155.22066375077128,0,0
46.0,159.5,159.5,46.0,46.0,155.22823201501612,0,0
46.0,159.5,159.5,46.0,46.0,155.23580027926093,0,0
46.0,159.25,159.25,46.0,46.0,155.24336854350574,0,0
46.5,159.5,159.5,46.5,46.5,155.25093680775058,0,0
47.5,159.5,159.5,47.5,47.5,155.2585050719954,0,0
48.0,157.5,157.5,48.0,48.0,155.26607333624023,0,0
49.0,157.5,157.5,49.0,49.0,155.27364160048504,0,0
48.5,158.5,158.5,48.5,48.5,155.28120986472987,0,0
47.5,159.5,159.5,47.5,47.5,155.28877812897468,0,0
47.0,159.5,159.5,47.0,47.0,155.2963463932195,0,0
46.5,159.25,159.25,46.5,46.5,155.30391465746433,0,0
47.0,159.25,159.25,47.0,47.0,155.31148292170914,0,0
47.5,159.5,159.5,47.5,47.5,155.31905118595398,0,0
48.0,159.5,159.5,48.0,48.0,155.3266194501988,0,0
49.0,159.5,159.5,49.0,49.0,155.33418771444363,0,0
49.0,159.25,159.25,49.0,49.0,155.34175597868844,0,0
49.0,159.5,159.5,49.0,49.0,155.34932424293325,0,0
47.5,159.5,159.5,47.5,47.5,155.3568925071781,0,0
47.5,157.0,157.0,47.5,47.5,155.3644607714229,0,0
47.0,157.0,157.0,47.0,47.0,155.37202903566774,0,0
46.5,158.0,158.0,46.5,46.5,155.37959729991255,0,0
46.5,159.5,159.5,46.5,46.5,155.38716556415739,0,0
47.5,159.5,159.5,47.5,47.5,155.3947338284022,0,0
47.5,159.5,159.5,47.5,47.5,155.402302092647,0,0
48.0,159.5,159.5,48.0,48.0,155.40987035689184,0,0
47.5,159.5,159.5,47.5,47.5,155.41743862113665,0,0
46.0,159.5,159.5,46.0,46.0,155.4250068853815,0,0
45.5,159.25,159.25,45.5,45.5,155.4325751496263,0,0
