toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
0.0,168.75,168.75,,20.5,172.91553241757092,0,0
0.0,168.75,168.75,,20.5,172.9170900499697,0,0
0.0,168.0,168.0,,20.5,172.91864768236843,0,0
20.5,168.0,168.0,20.5,20.5,172.9202053147672,0,0
20.5,168.0,168.0,20.5,20.5,172.92176294716594,0,0
20.5,167.75,167.75,20.5,20.5,172.9233205795647,0,0
21.0,167.75,167.75,21.0,21.0,172.92487821196346,0,0
21.0,167.75,167.75,21.0,21.0,172.9264358443622,0,0
21.0,171.75,171.75,21.0,21.0,172.92799347676095,0,0
21.0,171.75,171.75,21.0,21.0,172.92955110915972,0,0
21.0,171.75,171.75,21.0,21.0,172.93110874155846,0,0
21.0,172.75,172.75,21.0,21.0,172.93266637395723,0,0
21.0,172.75,172.75,21.0,21.0,172.93422400635598,0,0
21.0,172.75,172.75,21.0,21.0,172.93578163875472,0,0
21.0,174.25,174.25,21.0,21.0,172.9373392711535,0,0
21.0,174.25,174.25,21.0,21.0,172.93889690355223,0,0
21.0,174.25,174.25,21.0,21.0,172.94045453595098,0,0
21.0,175.75,175.75,21.0,21.0,172.94201216834975,0,0
21.0,175.75,175.75,21.0,21.0,172.9435698007485,0,0
21.0,175.75,175.75,21.0,21.0,172.94512743314726,0,0
21.0,176.75,176.75,21.0,21.0,172.946685065546,0,0
21.0,176.75,176.75,21.0,21.0,172.94824269794475,0,0
21.0,176.75,176.75,21.0,21.0,172.94980033034352,0,0
21.0,178.25,178.25,21.0,21.0,172.95135796274226,0,0
21.0,178.25,178.25,21.0,21.0,172.952915595141,0,0
21.0,178.25,178.25,21.0,21.0,172.95447322753978,0,0
21.0,179.25,179.25,21.0,21.0,172.95603085993852,0,0
21.0,179.25,179.25,21.0,21.0,172.9575884923373,0,0
21.0,179.25,179.25,21.0,21.0,172.95914612473604,0,0
21.0,180.0,180.0,21.0,21.0,172.96070375713478,0,0
21.5,180.0,180.0,21.5,21.5,172.96226138953355,0,0
21.5,180.0,180.0,21.5,21.5,172.9638190219323,0,0
21.5,180.75,180.75,21.5,21.5,172.96537665433104,0,0
21.5,180.75,180.75,21.5,21.5,172.9669342867298,0,0
