toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
0.0,145.0,145.0,,1.0,146.66273569830616,0,0
0.0,146.25,146.25,,1.0,146.6603547459252,0,0
0.0,146.25,146.25,,1.0,146.65797379354424,0,0
0.0,145.5,145.5,,1.0,146.6555928411633,0,0
0.0,145.5,145.5,,1.0,146.65321188878235,0,0
0.0,145.5,145.5,,1.0,146.6508309364014,0,0
0.0,145.5,145.5,,1.0,146.64844998402043,0,0
0.0,145.5,145.5,,1.0,146.64606903163948,0,0
0.0,145.5,145.5,,1.0,146.64368807925854,0,0
0.0,145.5,145.5,,1.0,146.6413071268776,0,0
0.0,145.5,145.5,,1.0,146.63892617449662,0,0
0.0,145.5,145.5,,1.0,146.63654522211567,0,0
0.0,145.5,145.5,,1.0,146.63416426973473,0,0
0.0,145.5,145.5,,1.0,146.63178331735378,0,0
0.0,145.5,145.5,,1.0,146.62940236497283,0,0
0.0,145.5,145.5,,1.0,146.62702141259186,0,0
0.0,145.5,145.5,,1.0,146.6246404602109,0,0
0.0,145.5,145.5,,1.0,146.62225950782997,0,0
0.0,145.5,145.5,,1.0,146.61987855544902,0,0
0.0,147.89285714285714,,,1.0,146.61749760306805,0,0
0.0,150.28571428571428,,,1.0,146.6151166506871,0,0
0.0,152.67857142857142,,,1.0,146.61273569830615,0,0
0.0,155.07142857142858,,,1.0,146.6103547459252,200,0
0.0,157.46428571428572,,,1.0,146.60797379354426,200,0
0.0,159.85714285714286,,,1.0,146.6055928411633,200,0
0.0,162.25,162.25,,1.0,146.60321188878234,200,0
0.0,162.25,162.25,,1.0,146.6008309364014,200,0
0.0,163.5,163.5,,1.0,146.59844998402045,200,0
0.0,163.5,163.5,,1.0,146.59606903163947,200,0
0.0,162.25,162.25,,1.0,146.59368807925853,200,0
0.0,162.75,162.75,,1.0,146.59130712687758,200,0
0.0,164.0,164.0,,1.0,146.58892617449663,200,0
0.0,164.0,164.0,,1.0,146.5865452221157,200,0
0.0,165.75,165.75,,1.0,146.5841642697347,200,0
0.0,166.25,166.25,,1.0,146.58178331735377,200,0
0.0,166.25,166.25,,1.0,146.57940236497282,200,0
0.0,165.75,165.75,,1.0,146.57702141259188,200,0
0.0,166.5,166.5,,1.0,146.57464046021093,200,0
0.0,166.5,166.5,,1.0,146.57225950782995,200,0
0.0,166.5,166.5,,1.0,146.569878555449,200,0
0.0,166.0,166.0,,1.0,146.56749760306806,200,0
0.0,165.0,165.0,,1.0,146.56511665068712,200,0
0.0,165.0,165.0,,1.0,146.56273569830614,200,0
0.0,161.75,161.75,,1.0,146.5603547459252,200,0
0.0,164.5,164.5,,1.0,146.55797379354425,200,0
0.0,164.5,164.5,,1.0,146.5555928411633,200,0
0.0,162.5,162.5,,1.0,146.55321188878236,200,0
0.0,164.0,164.0,,1.0,146.55083093640138,200,0
0.0,164.0,164.0,,1.0,146.54844998402044,200,0
0.0,163.5,163.5,,1.0,146.5460690316395,200,0
0.0,163.5,163.5,,1.0,146.54368807925854,200,0
0.0,160.25,160.25,,1.0,146.54130712687757,200,0
0.0,160.25,160.25,,1.0,146.53892617449662,200,0
0.0,162.25,162.25,,1.0,146.53654522211568,200,0
0.0,153.0,153.0,,1.0,146.53416426973473,200,0
0.0,153.0,153.0,,1.0,146.53178331735378,200,0
0.0,153.0,153.0,,1.0,146.5294023649728,200,0
0.0,161.25,161.25,,1.0,146.52702141259186,200,0
0.0,162.75,162.75,,1.0,146.52464046021092,200,0
0.0,162.75,162.75,,1.0,146.52225950782997,200,0
0.0,162.75,162.75,,1.0,146.51987855544903,200,0
0.0,162.75,162.75,,1.0,146.51749760306805,200,0
0.0,162.75,162.75,,1.0,146.5151166506871,200,0
0.0,163.0,163.0,,1.0,146.51273569830616,200,0
0.0,163.0,163.0,,1.0,146.5103547459252,200,0
