toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
3.0,121.0,121.0,3.0,3.0,140.55287272114856,0,0
3.0,121.0,121.0,3.0,3.0,140.55334933265965,0,0
3.0,123.75,123.75,3.0,3.0,140.55382594417074,0,0
3.5,123.75,123.75,3.5,3.5,140.55430255568183,0,0
3.5,123.75,123.75,3.5,3.5,140.55477916719292,0,0
3.5,125.25,125.25,3.5,3.5,140.555255778704,0,0
3.5,125.25,125.25,3.5,3.5,140.55573239021513,0,0
3.5,125.25,125.25,3.5,3.5,140.55620900172622,0,0
3.5,131.25,131.25,3.5,3.5,140.5566856132373,0,0
2.5,131.25,131.25,2.5,2.5,140.5571622247484,0,0
2.5,131.25,131.25,2.5,2.5,140.55763883625949,0,0
2.5,133.75,133.75,2.5,2.5,140.55811544777058,0,0
4.5,133.75,133.75,4.5,4.5,140.5585920592817,0,0
4.5,133.75,133.75,4.5,4.5,140.55906867079278,0,0
4.5,134.25,134.25,4.5,4.5,140.55954528230387,0,0
5.0,134.25,134.25,5.0,5.0,140.56002189381496,0,0
5.0,134.25,134.25,5.0,5.0,140.56049850532605,0,0
5.0,134.25,134.25,5.0,5.0,140.56097511683714,0,0
6.0,134.25,134.25,6.0,6.0,140.56145172834826,0,0
6.0,134.25,134.25,6.0,6.0,140.56192833985935,0,0
6.0,130.0,130.0,6.0,6.0,140.56240495137044,0,0
0.0,130.0,130.0,,5.214285714285714,140.56288156288153,0,0
0.0,130.0,130.0,,4.428571428571429,140.56335817439262,0,0
0.0,129.75,129.75,,3.642857142857143,140.5638347859037,0,0
0.0,129.75,129.75,,2.857142857142857,140.56431139741483,0,0
0.0,129.75,129.75,,2.071428571428572,140.56478800892592,0,0
0.0,130.5,130.5,,1.2857142857142856,140.565264620437,0,0
0.5,130.5,130.5,0.5,0.5,140.5657412319481,0,0
0.5,130.5,130.5,0.5,0.5,140.56621784345919,0,0
0.5,132.25,132.25,0.5,0.5,140.56669445497027,0,0
