toco,fhr,baseline,acc,dec
1.5,0.0,132.2471774501272,0,0
1.0,0.0,132.2510208870705,0,0
0.5,0.0,132.25486432401377,0,0
0.0,0.0,132.25870776095704,0,0
0.0,0.0,132.26255119790034,0,0
0.0,0.0,132.2663946348436,0,0
0.5,0.0,132.27023807178688,0,0
0.5,0.0,132.27408150873018,0,0
0.5,0.0,132.27792494567345,0,0
0.5,0.0,132.28176838261672,0,0
0.5,0.0,132.28561181956002,0,0
0.5,0.0,132.2894552565033,0,0
0.5,0.0,132.29329869344656,0,0
1.0,0.0,132.29714213038986,0,0
1.0,0.0,132.30098556733313,0,0
1.5,0.0,132.30482900427643,0,0
1.0,0.0,132.3086724412197,0,0
1.0,0.0,132.31251587816297,0,0
1.0,0.0,132.31635931510627,0,0
1.0,0.0,132.32020275204954,0,0
1.0,0.0,132.3240461889928,0,0
1.0,0.0,132.3278896259361,0,0
1.0,0.0,132.33173306287938,0,0
1.0,0.0,132.33557649982265,0,0
1.0,0.0,132.33941993676595,0,0
1.0,0.0,132.34326337370922,0,0
1.0,0.0,132.3471068106525,0,0
1.5,0.0,132.3509502475958,0,0
2.0,0.0,132.35479368453906,0,0
2.0,0.0,132.35863712148233,0,0
2.0,0.0,132.36248055842563,0,0
2.0,0.0,132.3663239953689,0,0
2.0,0.0,132.37016743231217,0,0
2.5,0.0,132.37401086925547,0,0
3.0,0.0,132.37785430619874,0,0
2.5,0.0,132.381697743142,0,0
3.0,0.0,132.3855411800853,0,0
3.0,0.0,132.38938461702858,0,0
3.5,0.0,132.39322805397185,0,0
3.5,0.0,132.39707149091515,0,0
3.5,0.0,132.40091492785842,0,0
3.5,0.0,132.4047583648017,0,0
3.5,0.0,132.408601801745,0,0
4.0,0.0,132.41244523868826,0,0
4.5,0.0,132.41628867563156,0,0
5.0,0.0,132.42013211257483,0,0
5.5,0.0,132.4239755495181,0,0
5.0,0.0,132.4278189864614,0,0
5.0,0.0,132.43166242340467,0,0
5.0,0.0,132.43550586034794,0,0
5.5,0.0,132.43934929729124,0,0
5.5,0.0,132.44319273423451,0,0
5.5,0.0,132.44703617117779,0,0
6.0,0.0,132.45087960812108,0,0
5.5,0.0,132.45472304506436,0,0
5.5,0.0,132.45856648200763,0,0
6.0,0.0,132.46240991895093,0,0
6.5,0.0,132.4662533558942,0,0
7.0,0.0,132.47009679283747,0,0
7.0,0.0,132.47394022978077,0,0
7.0,0.0,132.47778366672404,0,0
7.0,0.0,132.4816271036673,0,0
7.5,0.0,132.4854705406106,0,0
7.5,0.0,132.48931397755388,0,0
7.5,0.0,132.49315741449715,0,0
8.0,0.0,132.49700085144045,0,0
8.0,0.0,132.50084428838372,0,0
8.0,0.0,132.504687725327,0,0
8.0,0.0,132.5085311622703,0,0
8.5,0.0,132.51237459921356,0,0
8.5,0.0,132.51621803615683,0,0
8.5,0.0,132.52006147310013,0,0
9.0,0.0,132.5239049100434,0,0
9.0,0.0,132.5277483469867,0,0
9.0,0.0,132.53159178392997,0,0
9.0,0.0,132.53543522087324,0,0
9.5,0.0,132.53927865781654,0,0
10.5,0.0,132.5431220947598,0,0
10.5,0.0,132.54696553170308,0,0
11.5,0.0,132.55080896864638,0,0
12.0,0.0,132.55465240558965,0,0
12.5,0.0,132.55849584253292,0,0
12.5,0.0,132.56233927947622,0,0
12.5,0.0,132.5661827164195,0,0
12.5,0.0,132.57002615336276,0,0
12.5,0.0,132.57386959030606,0,0
12.5,0.0,132.57771302724933,0,0
13.0,0.0,132.5815564641926,0,0
13.0,0.0,132.5853999011359,0,0
12.5,0.0,132.58924333807917,0,0
12.5,0.0,132.59308677502244,0,0
12.5,0.0,132.59693021196574,0,0
13.0,0.0,132.600773648909,0,0
13.5,0.0,132.60461708585228,0,0
14.0,0.0,132.60846052279558,0,0
14.0,0.0,132.61230395973885,0,0
14.0,0.0,132.61614739668212,0,0
14.5,0.0,132.61999083362542,0,0
14.0,0.0,132.6238342705687,0,0
14.0,0.0,132.62767770751196,0,0
13.0,0.0,132.63152114445526,0,0
12.5,0.0,132.63536458139853,0,0
12.0,0.0,132.63920801834183,0,0
12.0,0.0,132.6430514552851,0,0
12.0,0.0,132.64689489222837,0,0
12.0,0.0,132.65073832917167,0,0
12.0,0.0,132.65458176611494,0,0
12.0,0.0,132.65842520305821,0,0
12.0,0.0,132.6622686400015,0,0
12.5,0.0,132.66611207694478,0,0
12.0,0.0,132.66995551388806,0,0
12.0,0.0,132.67379895083135,0,0
12.0,0.0,132.67764238777463,0,0
12.0,0.0,132.6814858247179,0,0
12.0,0.0,132.6853292616612,0,0
12.0,0.0,132.68917269860447,0,0
12.0,0.0,132.69301613554774,0,0
12.0,0.0,132.69685957249104,0,0
13.5,0.0,132.7007030094343,0,0
14.5,0.0,132.70454644637758,0,0
15.0,0.0,132.70838988332088,0,0
15.5,0.0,132.71223332026415,0,0
15.5,0.0,132.71607675720742,0,0
15.5,0.0,132.71992019415072,0,0
15.5,0.0,132.723763631094,0,200
15.5,0.0,132.72760706803726,0,200
16.0,0.0,132.73145050498056,0,200
16.0,0.0,132.73529394192383,0,200
16.0,0.0,132.7391373788671,0,200
16.0,0.0,132.7429808158104,0,200
16.0,0.0,132.74682425275367,0,200
16.0,0.0,132.75066768969697,0,200
16.0,0.0,132.75451112664024,0,200
16.0,0.0,132.7583545635835,0,200
16.0,0.0,132.7621980005268,0,200
16.0,0.0,132.76604143747008,0,200
16.5,0.0,132.76988487441335,0,200
16.5,0.0,132.77372831135665,0,200
16.5,0.0,132.77757174829992,0,200
16.5,0.0,132.7814151852432,0,200
16.0,0.0,132.7852586221865,0,200
16.0,0.0,132.78910205912976,0,200
16.0,0.0,132.79294549607303,0,200
16.0,0.0,132.79678893301633,0,200
16.0,0.0,132.8006323699596,0,200
15.5,0.0,132.80447580690287,0,200
15.5,0.0,132.80831924384617,0,200
15.5,0.0,132.81216268078944,0,200
15.0,0.0,132.8160061177327,0,200
15.0,0.0,132.819849554676,0,200
14.5,0.0,132.82369299161928,0,200
14.0,0.0,132.82753642856255,0,200
14.0,0.0,132.83137986550585,0,200
14.0,0.0,132.83522330244912,0,200
13.5,0.0,132.8390667393924,0,200
13.5,0.0,132.8429101763357,0,200
13.0,0.0,132.84675361327896,0,200
12.5,0.0,132.85059705022223,0,200
12.5,0.0,132.85444048716553,0,200
12.5,0.0,132.8582839241088,0,200
12.0,0.0,132.8621273610521,0,200
12.0,0.0,132.86597079799537,0,200
12.0,0.0,132.86981423493864,0,200
12.0,0.0,132.87365767188194,0,200
12.0,0.0,132.87750110882521,0,200
12.0,0.0,132.88134454576848,0,200
12.0,0.0,132.88518798271178,0,200
12.0,0.0,132.88903141965505,0,200
11.5,0.0,132.89287485659833,0,200
11.0,0.0,132.89671829354162,0,200
11.0,0.0,132.9005617304849,0,200
11.0,0.0,132.90440516742817,0,200
10.5,0.0,132.90824860437147,0,200
10.5,0.0,132.91209204131474,0,200
11.5,0.0,132.915935478258,0,200
13.0,0.0,132.9197789152013,0,200
14.0,0.0,132.92362235214458,0,200
14.5,0.0,132.92746578908785,0,200
14.0,0.0,132.93130922603115,0,200
14.0,0.0,132.93515266297442,0,200
14.0,0.0,132.9389960999177,0,200
14.0,0.0,132.942839536861,0,200
13.5,0.0,132.94668297380426,0,200
13.5,0.0,132.95052641074753,0,200
13.0,0.0,132.95436984769083,0,200
14.0,0.0,132.9582132846341,0,200
14.5,0.0,132.96205672157737,0,200
15.0,0.0,132.96590015852067,0,200
15.0,0.0,132.96974359546394,0,200
15.0,0.0,132.97358703240724,0,200
14.5,0.0,132.9774304693505,0,200
14.0,0.0,132.98127390629378,0,200
14.0,0.0,132.98511734323708,0,200
14.0,0.0,132.98896078018035,0,200
14.0,0.0,132.99280421712362,0,200
14.0,0.0,132.99664765406692,0,200
14.0,0.0,133.0004910910102,0,200
14.0,0.0,133.00433452795346,0,200
13.5,0.0,133.00817796489676,0,200
13.0,0.0,133.01202140184003,0,200
11.5,0.0,133.0158648387833,0,200
10.5,0.0,133.0197082757266,0,200
9.5,0.0,133.02355171266987,0,200
8.5,0.0,133.02739514961314,0,200
8.5,0.0,133.03123858655644,0,200
8.0,0.0,133.0350820234997,0,200
8.0,0.0,133.03892546044298,0,200
7.5,0.0,133.04276889738628,0,200
7.5,0.0,133.04661233432955,0,200
7.5,0.0,133.05045577127282,0,200
7.5,0.0,133.05429920821612,0,200
7.5,0.0,133.0581426451594,0,200
7.5,0.0,133.06198608210266,0,200
7.5,0.0,133.06582951904596,0,200
7.5,0.0,133.06967295598923,0,200
7.0,0.0,133.0735163929325,0,200
7.0,0.0,133.0773598298758,0,200
7.0,0.0,133.08120326681907,0,200
7.0,0.0,133.08504670376237,0,200
7.0,0.0,133.08889014070564,0,200
7.0,0.0,133.09273357764891,0,200
7.0,0.0,133.0965770145922,0,200
7.0,0.0,133.10042045153548,0,200
7.0,0.0,133.10426388847876,0,200
7.0,0.0,133.10810732542205,0,200
6.5,0.0,133.11195076236532,0,200
6.5,0.0,133.1157941993086,0,200
6.5,0.0,133.1196376362519,0,200
6.5,0.0,133.12348107319517,0,200
6.5,0.0,133.12732451013844,0,200
6.0,0.0,133.13116794708174,0,200
6.0,0.0,133.135011384025,0,200
6.0,0.0,133.13885482096828,0,200
6.0,0.0,133.14269825791158,0,200
6.0,0.0,133.14654169485485,0,200
5.5,0.0,133.15038513179812,0,200
5.5,0.0,133.15422856874142,0,200
5.5,0.0,133.1580720056847,0,200
5.5,0.0,133.16191544262796,0,200
5.5,0.0,133.16575887957126,0,200
5.5,0.0,133.16960231651453,0,200
5.5,0.0,133.1734457534578,0,200
5.5,0.0,133.1772891904011,0,200
5.5,0.0,133.18113262734437,0,200
5.5,0.0,133.18497606428764,0,200
5.5,0.0,133.18881950123094,0,200
5.5,0.0,133.1926629381742,0,200
5.5,0.0,133.1965063751175,0,200
5.0,0.0,133.20034981206078,0,200
5.0,0.0,133.20419324900405,0,200
5.0,0.0,133.20803668594735,0,200
5.0,0.0,133.21188012289062,0,200
5.0,0.0,133.2157235598339,0,200
5.0,0.0,133.2195669967772,0,200
5.0,0.0,133.22341043372046,0,200
4.5,0.0,133.22725387066373,0,200
4.5,0.0,133.23109730760703,0,200
4.5,0.0,133.2349407445503,0,200
4.5,0.0,133.23878418149357,0,200
4.5,0.0,133.24262761843687,0,200
5.0,0.0,133.24647105538014,0,200
4.5,0.0,133.2503144923234,0,200
4.5,0.0,133.2541579292667,0,200
4.5,0.0,133.25800136620998,0,200
4.0,0.0,133.26184480315325,0,200
4.0,0.0,133.26568824009655,0,200
4.0,0.0,133.26953167703982,0,200
4.0,0.0,133.2733751139831,0,200
3.5,0.0,133.2772185509264,0,200
4.0,0.0,133.28106198786966,0,200
4.0,0.0,133.28490542481293,0,200
4.0,0.0,133.28874886175623,0,200
3.5,0.0,133.2925922986995,0,200
3.5,0.0,133.29643573564277,0,200
3.5,0.0,133.30027917258607,0,200
3.5,0.0,133.30412260952934,0,200
3.5,0.0,133.30796604647264,0,200
3.5,0.0,133.3118094834159,0,200
3.0,0.0,133.31565292035918,0,200
3.0,0.0,133.31949635730248,0,200
3.0,0.0,133.32333979424575,0,200
3.0,0.0,133.32718323118903,0,200
3.5,0.0,133.33102666813232,0,200
3.5,0.0,133.3348701050756,0,200
4.0,0.0,133.33871354201887,0,200
4.5,0.0,133.34255697896216,0,200
5.0,0.0,133.34640041590544,0,200
5.0,0.0,133.3502438528487,0,200
5.0,0.0,133.354087289792,0,200
6.0,0.0,133.35793072673528,0,200
5.5,0.0,133.36177416367855,0,200
5.0,0.0,133.36561760062185,0,200
5.0,0.0,133.36946103756512,0,200
5.5,0.0,133.3733044745084,0,200
5.5,0.0,133.3771479114517,0,200
5.5,0.0,133.38099134839496,0,200
5.5,0.0,133.38483478533823,0,200
5.5,0.0,133.38867822228153,0,200
5.0,0.0,133.3925216592248,0,200
5.0,0.0,133.39636509616807,0,200
5.0,0.0,133.40020853311137,0,200
5.0,0.0,133.40405197005464,0,200
5.0,0.0,133.4078954069979,0,200
5.0,0.0,133.4117388439412,0,200
5.0,0.0,133.41558228088448,0,200
4.5,0.0,133.41942571782778,0,200
4.5,0.0,133.42326915477105,0,200
3.5,0.0,133.42711259171432,0,200
2.5,0.0,133.43095602865762,0,200
2.5,0.0,133.4347994656009,0,200
2.5,0.0,133.43864290254416,0,200
2.0,0.0,133.44248633948746,0,200
2.0,0.0,133.44632977643073,0,200
2.5,0.0,133.450173213374,0,200
3.0,0.0,133.4540166503173,0,200
2.5,0.0,133.45786008726057,0,200
2.5,0.0,133.46170352420384,0,200
2.0,0.0,133.46554696114714,0,200
2.0,0.0,133.4693903980904,0,200
2.5,0.0,133.47323383503368,0,200
2.5,0.0,133.47707727197698,0,200
2.5,0.0,133.48092070892025,0,200
2.0,0.0,133.48476414586352,0,200
2.0,0.0,133.48860758280682,0,200
1.5,0.0,133.4924510197501,0,200
1.0,0.0,133.49629445669336,0,200
1.5,0.0,133.50013789363666,0,200
2.0,0.0,133.50398133057993,0,200
2.0,0.0,133.5078247675232,0,200
2.0,0.0,133.5116682044665,0,200
2.0,0.0,133.51551164140977,0,200
2.0,0.0,133.51935507835307,0,200
2.5,0.0,133.52319851529634,0,200
2.5,0.0,133.5270419522396,0,200
3.0,0.0,133.5308853891829,0,200
3.0,0.0,133.53472882612618,0,200
3.0,0.0,133.53857226306945,0,200
2.5,0.0,133.54241570001275,0,200
2.0,0.0,133.54625913695602,0,200
2.0,0.0,133.5501025738993,0,200
2.5,0.0,133.5539460108426,0,200
3.0,0.0,133.55778944778586,0,200
3.5,0.0,133.56163288472914,0,200
3.5,0.0,133.56547632167243,0,200
3.0,0.0,133.5693197586157,0,200
2.0,0.0,133.57316319555898,0,200
1.0,0.0,133.57700663250228,0,200
1.0,0.0,133.58085006944555,0,200
1.0,0.0,133.58469350638882,0,200
1.0,0.0,133.58853694333212,0,200
1.0,0.0,133.5923803802754,0,200
1.0,0.0,133.59622381721866,0,200
1.5,0.0,133.60006725416196,0,200
1.0,0.0,133.60391069110523,0,200
1.0,0.0,133.6077541280485,0,200
0.5,0.0,133.6115975649918,0,200
0.5,0.0,133.61544100193507,0,200
1.0,0.0,133.61928443887834,0,200
1.5,0.0,133.62312787582164,0,200
1.5,0.0,133.6269713127649,0,200
1.5,0.0,133.6308147497082,0,200
2.0,0.0,133.63465818665148,0,200
2.0,0.0,133.63850162359475,0,200
2.0,0.0,133.64234506053805,0,200
1.0,0.0,133.64618849748132,0,200
1.5,0.0,133.6500319344246,0,200
1.0,0.0,133.6538753713679,0,200
1.5,0.0,133.65771880831116,0,200
1.5,0.0,133.66156224525443,0,200
2.0,0.0,133.66540568219773,0,200
2.0,0.0,133.669249119141,0,200
2.0,0.0,133.67309255608427,0,200
2.0,0.0,133.67693599302757,0,200
2.0,0.0,133.68077942997084,0,200
2.5,0.0,133.6846228669141,0,200
3.0,0.0,133.6884663038574,0,200
3.0,0.0,133.69230974080068,0,200
3.5,0.0,133.69615317774395,0,200
3.5,0.0,133.69999661468725,0,0
3.5,0.0,133.70384005163052,0,0
3.5,0.0,133.7076834885738,0,0
3.5,0.0,133.7115269255171,0,0
3.5,0.0,133.71537036246036,0,0
2.5,0.0,133.71921379940363,0,0
2.0,0.0,133.72305723634693,0,0
1.5,0.0,133.7269006732902,0,0
1.5,0.0,133.73074411023347,0,0
1.5,0.0,133.73458754717677,0,0
1.5,0.0,133.73843098412004,0,0
1.0,0.0,133.74227442106334,0,0
1.0,0.0,133.7461178580066,0,0
1.0,0.0,133.74996129494988,0,0
1.0,0.0,133.75380473189318,0,0
1.0,0.0,133.75764816883645,0,0
1.5,0.0,133.76149160577972,0,0
1.5,0.0,133.76533504272302,0,0
1.5,0.0,133.7691784796663,0,0
2.0,0.0,133.77302191660957,0,0
2.0,0.0,133.77686535355286,0,0
1.5,0.0,133.78070879049613,0,0
1.5,0.0,133.7845522274394,0,0
1.0,0.0,133.7883956643827,0,0
1.0,0.0,133.79223910132598,0,0
1.0,0.0,133.79608253826925,0,0
1.0,0.0,133.79992597521255,0,0
1.0,0.0,133.80376941215582,0,0
1.0,0.0,133.8076128490991,0,0
1.0,0.0,133.8114562860424,0,0
1.0,0.0,133.81529972298566,0,0
1.0,0.0,133.81914315992893,0,0
1.5,0.0,133.82298659687223,0,0
1.5,0.0,133.8268300338155,0,0
1.5,0.0,133.83067347075877,0,0
1.5,0.0,133.83451690770207,0,0
1.5,0.0,133.83836034464534,0,0
1.5,0.0,133.8422037815886,0,0
1.5,0.0,133.8460472185319,0,0
2.0,0.0,133.84989065547518,0,0
2.0,0.0,133.85373409241848,0,0
2.0,0.0,133.85757752936175,0,0
2.0,0.0,133.86142096630502,0,0
2.0,0.0,133.86526440324832,0,0
2.0,0.0,133.8691078401916,0,0
2.0,0.0,133.87295127713486,0,0
2.5,0.0,133.87679471407816,0,0
3.0,0.0,133.88063815102143,0,0
3.5,0.0,133.8844815879647,0,0
3.5,0.0,133.888325024908,0,0
4.0,0.0,133.89216846185127,0,0
4.0,0.0,133.89601189879454,0,0
3.5,0.0,133.89985533573784,0,0
2.5,0.0,133.9036987726811,0,0
2.5,0.0,133.90754220962438,0,0
2.0,0.0,133.91138564656768,0,0
2.0,0.0,133.91522908351095,0,0
2.0,0.0,133.91907252045422,0,0
2.0,0.0,133.92291595739752,0,0
2.0,0.0,133.9267593943408,0,0
2.0,0.0,133.93060283128406,0,0
2.0,0.0,133.93444626822736,0,0
2.0,0.0,133.93828970517063,0,0
2.0,0.0,133.9421331421139,0,0
2.0,0.0,133.9459765790572,0,0
2.0,0.0,133.94982001600047,0,0
2.0,0.0,133.95366345294374,0,0
2.0,0.0,133.95750688988704,0,0
2.5,0.0,133.9613503268303,0,0
2.0,0.0,133.9651937637736,0,0
2.5,0.0,133.96903720071688,0,0
4.0,0.0,133.97288063766015,0,0
6.0,0.0,133.97672407460345,0,0
5.5,0.0,133.98056751154672,0,0
5.5,0.0,133.98441094849,0,0
5.5,0.0,133.9882543854333,0,0
5.5,0.0,133.99209782237656,0,0
5.5,0.0,133.99594125931984,0,0
5.5,0.0,133.99978469626313,0,0
5.5,0.0,134.0036281332064,0,0
5.5,0.0,134.00747157014968,0,0
5.5,0.0,134.01131500709297,0,0
5.5,0.0,134.01515844403625,0,0
5.5,0.0,134.01900188097952,0,0
6.0,0.0,134.02284531792282,0,0
7.0,0.0,134.0266887548661,0,0
7.5,0.0,134.03053219180936,0,0
8.0,0.0,134.03437562875266,0,0
8.0,0.0,134.03821906569593,0,0
8.5,0.0,134.0420625026392,0,0
8.5,0.0,134.0459059395825,0,0
8.0,0.0,134.04974937652577,0,0
8.0,0.0,134.05359281346904,0,0
8.5,0.0,134.05743625041234,0,0
8.5,0.0,134.0612796873556,0,0
8.5,0.0,134.06512312429888,0,0
8.5,0.0,134.06896656124218,0,0
8.0,0.0,134.07280999818545,0,0
