toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
0.0,173.75,173.75,,61.5,170.614205717654,0,0
0.0,173.75,173.75,,61.5,170.61122689570965,0,0
0.0,174.0,174.0,,61.5,170.6082480737653,0,0
0.0,174.0,174.0,,61.5,170.60526925182097,0,0
0.0,174.0,174.0,,61.5,170.60229042987663,0,0
0.0,174.0,174.0,,61.5,170.5993116079323,0,0
0.0,174.0,174.0,,61.5,170.59633278598795,0,0
0.0,174.0,174.0,,61.5,170.59335396404362,0,0
0.0,171.75,171.75,,61.5,170.59037514209928,0,0
0.0,171.75,171.75,,61.5,170.58739632015494,0,0
0.0,171.75,171.75,,61.5,170.5844174982106,0,0
0.0,171.25,171.25,,61.5,170.58143867626626,0,0
0.0,171.25,171.25,,61.5,170.57845985432192,0,0
0.0,171.25,171.25,,61.5,170.57548103237758,0,0
0.0,170.75,170.75,,61.5,170.57250221043324,0,0
0.0,170.75,170.75,,61.5,170.5695233884889,0,0
0.0,170.75,170.75,,61.5,170.56654456654456,0,0
0.0,170.25,170.25,,61.5,170.56356574460023,0,0
0.0,170.25,170.25,,61.5,170.5605869226559,0,0
0.0,170.25,170.25,,61.5,170.55760810071155,0,0
0.0,169.5,169.5,,61.5,170.5546292787672,0,0
0.0,169.5,169.5,,61.5,170.55165045682287,0,0
0.0,169.5,169.5,,61.5,170.54867163487853,0,0
0.0,169.5,169.5,,61.5,170.5456928129342,0,0
0.0,169.5,169.5,,61.5,170.54271399098985,0,0
0.0,169.5,169.5,,61.5,170.5397351690455,0,0
0.0,171.5,171.5,,61.5,170.53675634710117,0,0
0.0,171.5,171.5,,61.5,170.53377752515684,0,0
0.0,171.5,171.5,,61.5,170.5307987032125,0,0
0.0,171.75,171.75,,61.5,170.52781988126816,0,0
0.0,171.75,171.75,,61.5,170.52484105932382,0,0
0.0,171.75,171.75,,61.5,170.52186223737948,0,0
0.0,172.0,172.0,,61.5,170.51888341543514,0,0
0.0,172.0,172.0,,61.5,170.5159045934908,0,0
0.0,172.0,172.0,,61.5,170.51292577154646,0,0
0.0,172.25,172.25,,61.5,170.50994694960212,0,0
61.5,172.25,172.25,61.5,61.5,170.50696812765779,0,0
61.5,172.25,172.25,61.5,61.5,170.50398930571345,0,0
61.5,172.25,172.25,61.5,61.5,170.5010104837691,0,0
61.5,172.25,172.25,61.5,61.5,170.49803166182477,0,0
61.5,172.25,172.25,61.5,61.5,170.49505283988043,0,0
61.5,172.25,172.25,61.5,61.5,170.4920740179361,0,0
61.5,172.25,172.25,61.5,61.5,170.48909519599175,0,0
61.5,172.25,172.25,61.5,61.5,170.4861163740474,0,0
61.5,172.75,172.75,61.5,61.5,170.48313755210307,0,0
61.5,172.75,172.75,61.5,61.5,170.48015873015873,0,0
61.5,172.75,172.75,61.5,61.5,170.4771799082144,0,0
61.5,172.75,172.75,61.5,61.5,170.47420108627006,0,0
61.5,172.75,172.75,61.5,61.5,170.47122226432572,0,0
61.5,172.75,172.75,61.5,61.5,170.46824344238138,0,0
61.5,172.75,172.75,61.5,61.5,170.46526462043704,0,0
61.5,172.75,172.75,61.5,61.5,170.4622857984927,0,0
61.5,172.75,172.75,61.5,61.5,170.45930697654836,0,0
61.5,168.25,168.25,61.5,61.5,170.456328154604,0,0
61.5,168.25,168.25,61.5,61.5,170.45334933265966,0,0
61.5,168.25,168.25,61.5,61.5,170.45037051071532,0,0
61.5,168.25,168.25,61.5,61.5,170.44739168877098,0,0
61.5,168.25,168.25,61.5,61.5,170.44441286682664,0,0
61.5,168.25,168.25,61.5,61.5,170.4414340448823,0,0
61.5,172.25,172.25,61.5,61.5,170.43845522293796,0,0
61.5,172.25,172.25,61.5,61.5,170.43547640099362,0,0
61.5,172.25,172.25,61.5,61.5,170.43249757904928,0,0
61.5,172.25,172.25,61.5,61.5,170.42951875710494,0,0
61.5,172.25,172.25,61.5,61.5,170.4265399351606,0,0
61.5,172.25,172.25,61.5,61.5,170.42356111321627,0,0
61.5,172.25,172.25,61.5,61.5,170.42058229127193,0,0
61.5,172.25,172.25,61.5,61.5,170.4176034693276,0,0
61.5,172.25,172.25,61.5,61.5,170.41462464738325,0,0
61.5,172.25,172.25,61.5,61.5,170.4116458254389,0,0
61.5,172.25,172.25,61.5,61.5,170.40866700349457,0,0
61.5,172.25,172.25,61.5,61.5,170.40568818155023,0,0
61.5,170.5,170.5,61.5,61.5,170.4027093596059,0,0
61.5,170.5,170.5,61.5,61.5,170.39973053766155,0,0
61.5,170.5,170.5,61.5,61.5,170.39675171571722,0,0
61.5,170.25,170.25,61.5,61.5,170.39377289377288,0,0
61.5,170.25,170.25,61.5,61.5,170.39079407182854,0,0
